,Signature,Raag,Thaat,Prahar,Aaroha,Avroha,Vadi,Samvadi,Pakad,Jati,AS,AR,AG,AM,AP,AD,AN,VS,VR,VG,VM,VP,VD,VN,coeff,P,V,S,coeff2,BS,BR,BG,BM,BP,BD,BN
70,257,"Bhairav, Saveri / Saveri",Bhairav,1 (6am - 9am),S - r - m - P - d - S',S' - N - d - P - m - G - r - S,P,S,r - m - P - d - S' - N - d - P - G - m - r - S,Audav - Sampoorna,H,K,A,H,H,K,A,H,K,H,H,H,K,H,3.0833,1,2,1,1.5,H,K,H,H,H,K,H
71,260,Prabhavati,Bhairav,1 (6am - 9am),S - r - G - P - d - N - S',S' - N - d - P - G - r - S,P,S,,Shadav - Shadav,H,K,H,A,H,K,H,H,K,H,A,H,K,H,3.5,1,2,1,1.5,H,K,H,A,H,K,H
75,32,Bhairavi,Bhairavi,1 (6am - 9am),S - r - g - m - P - d - n - S',S' - n - d - P - m - g - r - S,P,S,nS gm dP - gmP gm rS,Sampoorna - Sampoorna,H,K,K,H,H,K,K,H,K,K,H,H,K,K,3.2857,1,2,1,1.5,H,K,K,H,H,K,K
76,179,"Todi, Jaiwanti",Bhairavi,1 (6am - 9am),S - r - m - P - D - n - S',S' - n - D - P - m - g - r - S,P,S,"S - r - m - P, n - D - P, D - m, P - g, m - r, g - r - S",Shadav - Sampoorna,H,K,A,H,H,H,K,H,K,K,H,H,H,K,3.3846,1,2,1,1.5,H,K,K,H,H,H,K
77,384,"Todi, Bairagi",Bhairavi,1 (6am - 9am),S - r - g - P - n - S',S' - n - P - g - r - S,P,S,"S - r - g - P, P - g - r - g - r - S",Audav - Audav,H,K,K,A,H,A,K,H,K,K,A,H,A,K,3.6,1,2,1,1.5,H,K,K,A,H,A,K
82,535,"Kalyan, Kohari",Kalyan,1 (6am - 9am),S - R - G - P - D - S',S' - n - D - P - G - P - (G) R - S,P,S,PDnDP - GRGP (G)R S,Audav - Shadav,H,H,H,A,H,H,A,H,H,H,A,H,H,K,3.1818,1,2,1,1.5,H,H,H,A,H,H,K
84,355,Anand Leela,,1 (6am - 9am),S - R - G - m - P - N - S',S' - N - d - P - m - G - R - S,P,S,G - R - G - m - P - N - d - P,Shadav - Sampoorna,H,H,H,H,H,A,H,H,H,H,H,H,K,H,3.1538,1,2,1,1.5,H,H,H,H,H,K,H
85,465,Pratiksha,,1 (6am - 9am),S - R - G - P - d - S',S' - d - P - G - R - S,P,S,"S - R - G - R - G, P - d - S' - P - d - P - G",Audav - Audav,H,H,H,A,H,K,A,H,H,H,A,H,K,A,2.8,1,2,1,1.5,H,H,H,A,H,K,A
87,337,"Ranjani, Yash",Poorvi,7 (12am - 3am),S - r - M - P - d - S',S' - D - P - M - r - S,S,P,,Audav - Audav,H,K,A,T,H,K,A,H,K,A,T,H,H,A,3.9,7,1,2,1.5,H,K,A,T,H,B,A
88,317,"Todi, Gauri",Todi,3 (12pm - 3pm),S - r - g - M - d - N - S',S' - N - d - P - M - G - r - S,d,g,S rg - MdNdP - MGrG rS 'N,Shadav - Sampoorna,H,K,K,T,A,K,H,H,K,H,T,H,K,H,4.2308,3,3,4,3.5,H,K,B,T,H,K,H
91,81,Jaunpuri,Asavari,2 (9am - 12pm),S - R - m - P - d - n - S',S' - n - d - P - m - g - R - S,d,g,m PdnS' nS' (n)d P mP gR S,Shadav - Sampoorna,H,H,A,H,H,K,K,H,H,K,H,H,K,K,3.0769,2,3,4,3.5,H,H,K,H,H,K,K
96,176,"Todi, Bhupal / Bhoopal Todi",Bhairavi,2 (9am - 12pm),S - r - g - P - d - S',S' - d - P - g - r - S,d,g,"S - r - 'd - S, rg - rg - r - S",Audav - Audav,H,K,K,A,H,K,A,H,K,K,A,H,K,A,3.2,2,3,4,3.5,H,K,K,A,H,K,A
98,523,"Todi, Asavari",Bhairavi,2 (9am - 12pm),S - r - m - P - d - S',r' - n - d - m - g - r - S,d,g,r - m - P - d - m - grg - rS,Vakra,H,K,A,H,H,K,A,H,K,K,H,A,K,K,3.1818,2,3,4,3.5,H,K,K,H,H,K,K
