,Signature,Raag,Thaat,Prahar,Aaroha,Avroha,Vadi,Samvadi,Pakad,Jati,AS,AR,AG,AM,AP,AD,AN,VS,VR,VG,VM,VP,VD,VN,coeff,P,V,S,coeff2,BS,BR,BG,BM,BP,BD,BN
294,233,Harikauns,,6 (9pm - 12am),S - g - M - D - n - S',S' - n - D - M - g - S,-,-,,Audav - Audav,H,A,K,T,A,H,K,H,A,K,T,A,H,K,4.2,6,0,0,0.0,H,A,K,T,A,H,K
297,313,Kamboji,Khamaaj,6 (9pm - 12am),"S - R - G, P, D - S'","S' - n, D - P, m - G - R - S",G,D,,Audav - Sampoorna,H,H,H,A,H,H,A,H,H,H,H,H,H,K,3.0833,6,3,4,3.5,H,H,H,H,H,H,K
299,433,Malavatee,Bilawal,6 (9pm - 12am),S - r - m - P - D - S',S' - N - D - P - m - G - R - S,R,D,"D - S - R - m, P - D - P, m - G - R - S",Shadav - Sampoorna,H,K,A,H,H,H,A,H,H,H,H,H,H,H,3.1667,6,5,4,4.5,H,B,H,H,H,H,H
302,376,Aarabhi,Bilawal,6 (9pm - 12am),S - R - m - P - D - S',S' - N - D - P - m - G - R -  S,S,m,D - S - R - m - G - R - S - 'N - 'D - S,Audav - Sampoorna,H,H,A,H,H,H,A,H,H,H,H,H,H,H,3.0833,6,1,2,1.5,H,H,H,H,H,H,H
313,316,"Kamboji, Gop",Kafi,6 (9pm - 12am),S - R - g - m - P - D - S',S' - n - D - P - m - g - R - S,G,N,,Shadav - Sampoorna,H,H,K,H,H,H,A,H,H,K,H,H,H,K,3.1538,6,3,6,4.5,H,H,K,H,H,H,K
316,369,Kumudaki,Kalyan,6 (9pm - 12am),S - R - G - M - N - S',S' - N - M - G - R - S,G,N,,Audav - Audav,H,H,H,T,A,A,H,H,H,H,T,A,A,H,4.4,6,3,6,4.5,H,H,H,T,A,A,H
317,557,"Bihag, Marg / Maarg Bihag",Kalyan,6 (9pm - 12am),N S G M P N S',S' N D P M G R S,G,N,GMPND MG MGRS RS,Audav - Sampoorna,H,A,H,T,H,A,H,H,H,H,T,H,H,H,3.9167,6,3,6,4.5,H,H,H,T,H,H,H
322,3,"Mohini, Ahi",Asavari,6 (9pm - 12am),S - r - G - m - P - D - n - S',S' - n - d - P - m - g - R - S,m,n,"S, R - G  - m, P - d, P - m, g - R - g - S",Sampoorna - Sampoorna,H,K,H,H,H,H,K,H,H,K,H,H,K,K,3.2143,6,2,5,3.5,H,B,B,H,H,B,K
327,306,Kohal,Kafi,6 (9pm - 12am),"S - R - g, P - N - S'","S' - n - P, g - R - g - R - S",R,P,,Audav - Audav,H,H,K,A,H,A,H,H,H,K,A,H,A,K,3.5,6,5,2,3.5,H,H,K,A,H,A,B
334,451,"Kalyan, Rajani",Khamaaj,6 (9pm - 12am),n - S - R - G - m - P - D - n - S',S' - n - D - P - m - G - R - S,R,P,"S - R - S, 'n - S - R - g - m",Mishra/Sankeerna,H,H,H,H,H,H,K,H,H,H,H,H,H,K,3.1429,6,5,2,3.5,H,H,H,H,H,H,K
338,449,"Maanjh, Pilu Ki",Gauri Manohari,6 (9pm - 12am),S - R - g - m - P - D - N - S',S' - N - D - P - m - g - R - S,S,P,"S, 'P - 'N - S - R - g, S, R - P, mP - D, m - (g), S",Vakra,H,H,K,H,H,H,H,H,H,K,H,H,H,H,3.4286,6,1,2,1.5,H,H,K,H,H,H,H
342,87,Kalawati,Khamaaj,6 (9pm - 12am),S - G - P - D - n - S',S' - n - D - P - G - S,S,P,GPDnD - PG - S,Audav - Audav,H,A,H,A,H,H,K,H,A,H,A,H,H,K,3.0,6,1,2,1.5,H,A,H,A,H,H,K
346,348,"Ranjani, Saraswat",Kafi,6 (9pm - 12am),"N - S, g - M - P - N - S'","S' - n, D - P, M - g, R - S'",P,R,,Audav - Sampoorna,H,A,K,T,H,A,H,H,H,K,T,H,H,K,4.0,6,2,5,3.5,H,H,K,T,H,H,B
350,37,Bhinna Shadja,Bilawal,6 (9pm - 12am),S - G - m - D - N - S',S' - N - D - m - G - S,m,S,S - G - m - D - m - G - S - G - m - G - 'D - 'N - S - m,Audav - Audav,H,A,H,H,A,H,H,H,A,H,H,A,H,H,3.2,6,2,1,1.5,H,A,H,H,A,H,H
354,276,"Nat, Shuddha",Bilawal,6 (9pm - 12am),S - R - G - m - P - D - N - S',S' - N - P - m - R - S,m,S,,Sampoorna - Shadav,H,H,H,H,H,H,H,H,H,A,H,H,A,H,3.25,6,2,1,1.5,H,H,H,H,H,H,H
356,441,Nat,Bilawal,6 (9pm - 12am),S - R - G - m - P - D - N - S',S' - N - D - P - m - G - R - S,m,S,S - G - m - P - G - m - R - G - m - P - m - G - m - R - S,Sampoorna - Sampoorna,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3.2857,6,2,1,1.5,H,H,H,H,H,H,H
358,460,"Varali, Pratap",Bilawal,6 (9pm - 12am),S - R - m - P - D - S',S' - D - P - m - G - R - S,m,S,"S - 'D - S - R - m, P - D - P - m - G - R - S",Audav - Shadav,H,H,A,H,H,H,A,H,H,H,H,H,H,A,2.8182,6,2,1,1.5,H,H,H,H,H,H,A
360,1,Abhogi / Abhogi Kanada,Kafi,6 (9pm - 12am),S - R - g - m - D - S',S' - D - m - g - R - S,m,S,D - S - R - (m)g - m - Rgm - R - S,Audav - Audav,H,H,K,H,A,H,A,H,H,K,H,A,H,A,3.2,6,2,1,1.5,H,H,K,H,A,H,A
364,236,"Bageshree, Audav (Bageshree Kauns or Purana Chandrakauns)",Kafi,6 (9pm - 12am),S - g - m - D - n - S',S' - n - D - m - g - S,m,S,g - m - g - S - 'n - 'D - 'n - g - S,Audav - Audav,H,A,K,H,A,H,K,H,A,K,H,A,H,K,3.2,6,2,1,1.5,H,A,K,H,A,H,K
378,261,Rupeshwari / Khamaj Thaat Ki Durga,Khamaaj,6 (9pm - 12am),S - G - m - D - N - S',S' - n - D - m - G - S,m,S,G - m - D - N - S' - n - D - m,Audav - Audav,H,A,H,H,A,H,H,H,A,H,H,A,H,K,3.1,6,2,1,1.5,H,A,H,H,A,H,B
380,310,Kaamaai,Khamaaj,6 (9pm - 12am),"S - G, m - P, n - S'","S' - n, D - P, m - G - R - S",m,S,,Audav - Sampoorna,H,A,H,H,H,A,K,H,H,H,H,H,H,K,2.9167,6,2,1,1.5,H,H,H,H,H,H,K
385,391,"Desaa, Sawan",Khamaaj,6 (9pm - 12am),N - S - R -m - P - N - S',S' - n - D - P - m - G - R - S,m,S,R m P N S'  P n D P m G R,Audav - Sampoorna,H,H,A,H,H,A,H,H,H,H,H,H,H,K,3.1667,6,2,1,1.5,H,H,H,H,H,H,B
388,563,Durga (Khamaj Thaat Ki),Khamaaj,6 (9pm - 12am),S - G - m - D - n - S',S' - n - D - m - G - S,m,S,DnD mG 'nS,Audav - Audav,H,A,H,H,A,H,K,H,A,H,H,A,H,K,3.0,6,2,1,1.5,H,A,H,H,A,H,K
391,360,Chandraprabha,,6 (9pm - 12am),S - R - m - d - N - S',S' - N - d - m - R - S,m,S,R m d m R - 'N 'd S - m,Audav - Audav,H,H,A,H,A,K,H,H,H,A,H,A,K,H,3.4,6,2,1,1.5,H,H,A,H,A,K,H
392,251,Shreevanti,Todi,1 (6am - 9am),N - S - g - M - P - N - S',S' - N - P - M - g - r - S,,,,Audav - Shadav,H,A,K,T,H,A,H,H,K,K,T,H,A,H,4.1818,1,0,0,0.0,H,K,K,T,H,A,H
394,219,"Bihag, Sawani",Bilawal,6 (9pm - 12am),S - G - m - P - N - S',S - N - D - P - m - G - R - S,P,S,"G - m - P - S P - P, P - D - m, m - P - G, m - P - m - PG - R  - S",Audav - Sampoorna,H,A,H,H,H,A,H,H,H,H,H,H,H,H,3.0833,6,2,1,1.5,H,H,H,H,H,H,H
408,252,Hemvanti,Todi,1 (6am - 9am),S - r - M - P - d - N - S',S' - N - d - P - M - g - r - S',,,,Shadav - Sampoorna,H,K,A,T,H,K,H,H,K,K,T,H,K,H,4.1538,1,0,0,0.0,H,K,K,T,H,K,H
410,124,Madhukauns,,6 (9pm - 12am),S - g - M - P - n - S',S' - n - P - M - g - S,P,S,g - M - P - n - S - n - P - M - g - S,Audav - Audav,H,A,K,T,H,A,K,H,A,K,T,H,A,K,3.8,6,2,1,1.5,H,A,K,T,H,A,K
411,183,Vachaspati or Champakali,,6 (9pm - 12am),n - S - G - M - P - n - S',S' - n - D - P - M - G - R - S,P,S,nDP - GMP - (G)R (S)'n 'P'nS,Shadav - Sampoorna,H,A,H,T,H,A,K,H,H,H,T,H,H,K,3.75,6,2,1,1.5,H,H,H,T,H,H,K
413,597,Harapriyaa,Kafi,6 (9pm - 12am),S - R - g - m - P - D - S',S' - n - D - P - m - g - R - S,P,S',SRmP Rmg - DS'nDP Rmg - RS,Shadav - Sampoorna,H,H,K,H,H,H,A,H,H,K,H,H,H,K,3.1538,6,2,1,1.5,H,H,K,H,H,H,K
415,470,"Abhogi, Shiv",,7 (12am - 3am),S - R - g - M - D - S',S' - D - M - g - R - S,R,D,"D - S - R - g, R - g - M - D - M - g - R - 'D - S",Audav - Audav,H,H,K,T,A,H,A,H,H,K,T,A,H,A,4.2,7,5,4,4.5,H,H,K,T,A,H,A
423,336,Manjiri,Poorvi,7 (12am - 3am),S - G - m - P - d - N - S',S' - N - d - P - M - G - r - S,S,P,,Shadav - Sampoorna,H,A,H,H,H,K,H,H,K,H,T,H,K,H,3.4615,7,1,2,1.5,H,K,H,B,H,K,H
424,181,"Todi, Miyan Ki",Todi,2 (9am - 12pm),S - r - g - M - d - N - S',S' - N - d - P - M - g - r - S,d,g,gMd - MdNd NdP - MdMg - rgrg rS,Shadav - Sampoorna,H,K,K,T,A,K,H,H,K,K,T,H,K,H,4.3077,2,3,4,3.5,H,K,K,T,H,K,H
426,499,"Kauns, Maru / Amirkhani Kauns / Ameeri Kauns",,7 (12am - 3am),S - G - M - P - n - S',S' - n - P - M - G - S,S,P,GMPnP MGM GS 'n'P S,Audav - Audav,H,A,H,T,H,A,K,H,A,H,T,H,A,K,3.6,7,1,2,1.5,H,A,H,T,H,A,K
435,139,Malkauns,Bhairavi,7 (12am - 3am),S - g - m - d - n - S',S' - n - d - m - g - S,m,S,d'nS m - gmd gmg - 'nS,Audav - Audav,H,A,K,H,A,K,K,H,A,K,H,A,K,K,3.0,7,2,1,1.5,H,A,K,H,A,K,K
442,280,Bhavani,Bilawal,7 (12am - 3am),S - R - m - D - S',"S' - D - m, R - S",m,S,R - m - D - m - R - S,Mishra/Sankeerna,H,H,A,H,A,H,A,H,H,A,H,A,H,A,3.0,7,2,1,1.5,H,H,A,H,A,H,A
443,284,"Ranjani, Ras",Bilawal,7 (12am - 3am),S - R - m - D - N - S',"S', N, D, m, D - m - R - S",m,S,,Audav - Audav,H,H,A,H,A,H,H,H,H,A,H,A,H,H,3.6,7,2,1,1.5,H,H,A,H,A,H,H
448,297,"Ranjani, Shree",Kafi,7 (12am - 3am),S - g - m - D - n - S',S' - n - D - m - g - R - S,m,S,,Audav - Shadav,H,A,K,H,A,H,K,H,H,K,H,A,H,K,3.3636,7,2,1,1.5,H,H,K,H,A,H,K
458,508,"Ranjani, Kaushik",,7 (12am - 3am),S - R - g - m - d - N - S',S' - N - d - m - g - R - S,m,S,N - d - m - g - R - g - m - R - S,Shadav - Shadav,H,H,K,H,A,K,H,H,H,K,H,A,K,H,3.5,7,2,1,1.5,H,H,K,H,A,K,H
462,495,"Bhairavi, Anand",Asavari,7 (12am - 3am),S - R - g - m - P - d - n - S',S' - n - d - P - m - g - R - S,P,S,n - S - g - m - d - P - g - m - g - R - S,Sampoorna - Sampoorna,H,H,K,H,H,K,K,H,H,K,H,H,K,K,3.1429,7,2,1,1.5,H,H,K,H,H,K,K
467,169,"Ranjani, Shiv / Shivaranjani",Kafi,7 (12am - 3am),S - R - g - P - D - S',S' - D - P - g - R - S,P,S,SRgR S 'DS RgR - gPgR S,Audav - Audav,H,H,K,A,H,H,A,H,H,K,A,H,H,A,3.2,7,2,1,1.5,H,H,K,A,H,H,A
474,322,Jayant,Kafi,8 (3am - 6am),S - g - m - P - D - S',"S' - n - D - P, m - g - S",G,D,,Audav - Shadav,H,A,K,H,H,H,A,H,A,K,H,H,H,K,2.8182,8,3,4,3.5,H,A,K,H,H,H,K
475,334,Mevada,Bilawal,8 (3am - 6am),S - R - G - m - P - D - N - S',S - N - D - P - m - G - R - S,D,G,m - GRG - S - RmPD - PDNDP - Gm - GRS,Sampoorna - Sampoorna,H,H,H,H,H,H,H,H,H,H,H,H,H,H,3.2857,8,4,3,3.5,H,H,H,H,H,H,H
476,76,Hindol,Kalyan,8 (3am - 6am),S - G - M - D - S',S' - (N) D - M - G - S,D,G,S' - MDS' DM G - MG- S,Audav - Audav,H,A,H,T,A,H,A,H,A,H,T,A,H,H,4.0,8,4,3,3.5,H,A,H,T,A,H,H
479,323,Jaiwanti,Todi,2 (9am - 12pm),"S - r - g, M - P - S'","S' - d - P, M - g - r - S",S,P,,Audav - Shadav,H,K,K,T,H,A,A,H,K,K,T,H,K,A,3.9091,2,1,2,1.5,H,K,K,T,H,K,A
480,178,"Todi, Gujari",Todi,2 (9am - 12pm),S - r - g - M - d - N - S',S' - N - d - M - g - r - S,d,r,M - d - N - d - M - g - r - g - r - S,Shadav - Shadav,H,K,K,T,A,K,H,H,K,K,T,A,K,H,4.5,2,3,6,4.5,H,K,K,T,A,K,H
483,558,Bibhas (Deskar Ang),Marwa,8 (3am - 6am),S - r - G - P - D - S',S' - D - P - G - r - S,D,G,GPD GP G - PG r S,Audav - Audav,H,K,H,A,H,H,A,H,K,H,A,H,H,A,3.2,8,4,3,3.5,H,K,H,A,H,H,A
484,259,Girija / Audav Bhairav / Kauns Gandhar,Bhairav,8 (3am - 6am),S - G - m - d - N - S',S' - N - d - m - G - S,S,m,G m d N d m G,Audav - Audav,H,A,H,H,A,K,H,H,A,H,H,A,K,H,3.0,8,1,2,1.5,H,A,H,H,A,K,H
488,327,Dhanya Dhaivat,Marwa,8 (3am - 6am),"S - r - G, P - D - S'","S' - D - P, G - r - S",D,r,,Audav - Audav,H,K,H,A,H,H,A,H,K,H,A,H,H,A,3.2,8,4,6,5.0,H,K,H,A,H,H,A
489,352,Hevitri,Bhairav,8 (3am - 6am),S - r - G - m - P - D - S',S' - n - D - P - m - G - r - S,P,r,,Shadav - Sampoorna,H,K,H,H,H,H,A,H,K,H,H,H,H,K,3.1538,8,2,6,4.0,H,K,H,H,H,H,K
501,517,"Kalyan, Krishna",Kalyan,8 (3am - 6am),S - R - G - M - P - n - S',S' - n - P - m - G - R - S,P,S,n. - S - R - G - m - P - R - n. - S,Shadav - Shadav,H,H,H,T,H,A,K,H,H,H,H,H,A,K,3.4167,8,2,1,1.5,H,H,H,B,H,A,K
504,63,Dhani,Kafi,Anytime in Monsoon,n - S - g - m - P - n - S',S' - n - P - m - g - R - S,g,n,g - m - n - P - g - R - S,Audav - Shadav,H,A,K,H,H,A,K,H,H,K,H,H,A,K,3.0,A,4,5,4.5,H,H,K,H,H,A,K
507,144,Megh,Kafi,Anytime in Monsoon,S - R - m - P - n - S',S' - n - P - m - R - S,S,P,R - R - S - 'n - 'P - R - S,Audav - Audav,H,H,A,H,H,A,K,H,H,A,H,H,A,K,3.0,A,1,2,1.5,H,H,A,H,H,A,K
521,145,Multani,Todi,4 (3pm - 6pm),N - S - g - M - P - N - S',S' - N - d - P - M - g - r - S,P,S,"NS Mg MP - g, Mg Mg (r)S 'N Sg rS",Audav - Sampoorna,H,A,K,T,H,A,H,H,K,K,T,H,K,H,4.0833,4,2,1,1.5,H,K,K,T,H,K,H
523,120,Kirwani,,Anytime in Monsoon,S - R - g - m - P - d - N - S',S' - N - d - P - m - g - R - S,P,S,,Sampoorna - Sampoorna,H,H,K,H,H,K,H,H,H,K,H,H,K,H,3.2857,A,2,1,1.5,H,H,K,H,H,K,H
537,514,Mangal Gujari,Todi,No specific time,S - r - g - M - d - n - S',S' - n - d - M - g - r - S,g,d,g - M - d - n - d - M - g - r - g - r - S,Shadav - Shadav,H,K,K,T,A,K,K,H,K,K,T,A,K,K,4.3333,N,4,3,3.5,H,K,K,T,A,K,K
539,403,"Malhar, Shuddha",Khamaaj,No specific time,S - R - m - P - D - S',S' - D - P - m - R - S,R,P,"R - P, m - P - D - S' - D - p - m",Audav - Audav,H,H,A,H,H,H,A,H,H,A,H,H,H,A,2.8,N,5,2,3.5,H,H,A,H,H,H,A
542,471,Hemavati,,No specific time,S - R - g - M - P - D - n - S',S' - n - D - P - M - g - R - S,S,P,,Shadav - Sampoorna,H,H,K,T,H,H,K,H,H,K,T,H,H,K,4.0,N,1,2,1.5,H,H,K,T,H,H,K
544,506,Kanakanagi,Bhairav,No specific time,S R m P D S',S d P m r S,m,S,not specific,Audav - Audav,H,H,A,H,H,H,A,H,K,A,H,H,K,A,2.8,N,2,1,1.5,H,B,A,H,H,B,A
546,467,Sarangkauns,,No specific time,S - R - m - d - n - S',S' - n - d - m - R - S,m,S,m - n - d - m - R - 'n - R - S,Audav - Audav,H,H,A,H,A,K,K,H,H,A,H,A,K,K,3.2,N,2,1,1.5,H,H,A,H,A,K,K
547,488,Nandeshwari,Bilawal,,S - G - m - D - n - S',S' - n - D - m - G - m - g - S,m,S,D - 'n - S - Gm - g - S,Audav - Audav,H,A,H,H,A,H,K,H,A,B,H,A,H,K,3.0909,0,2,1,1.5,H,A,B,H,A,H,K
548,489,Shyamvanti,Bilawal,,S - G - m - D - N - S',S' - N - D - m - G - m - g - S,m,S,D - 'N - S - m - Gm - g - S,Audav - Audav,H,A,H,H,A,H,H,H,A,B,H,A,H,H,3.2727,0,2,1,1.5,H,A,B,H,A,H,H
551,490,Milan Gandhar,Kafi,,S - G - P - n - D - S',S' - n - D - P - G - P - g - S,P,S,G - P - n - D - P - GP - g - S,Audav - Audav,H,A,H,A,H,H,K,H,A,B,A,H,H,K,3.0909,0,2,1,1.5,H,A,B,A,H,H,K
